English	中文
2PL	两阶段锁协议
Abort	中止
abstraction	抽象
Access Method Properties	访问方法属性
access path	访问路径
access predicate	访问谓词
action	动作
active/passive	主动/被动
advisory lock	咨询锁
after-images	后映像
aggregate	聚合
aggregate function	聚合函数
Analyzer	分析器
Anti-Join	反连接
arbiter indexes	仲裁索引
archive log	归档日志
arithmetic mean	算术平均值
assignment cast	赋值类型转换
atomic broadcast	原子广播
atomic commit	原子提交
atomic increment	原子递增
Atomicity	原子性
authenticated user	已认证用户
automatically updatable	自动可更新
autovacuum	自动清理
autovacuum daemon	自动清理守护进程
B-tree	B-树
back reference	反向引用
Backend Process	后端进程
background process	后台进程
background worker	后台工作进程
Background Worker Process	后台工作进程
background writer	后台写入器
backpressure	背压
backup	备份
backup block	备份块
base backup	基础备份
base directory	基础目录
base type	基础类型
Basic Statistics	基础统计信息
batch	批次
before-images	前映像
binary coercible	二进制可强制转换
binlog coordinates	二进制日志坐标
bit	位
Bitmap Scans	位图扫描
Bitmap-Scan	位图扫描
block number	块号
blocks	块
Bloom Classes	Bloom 操作符类
Bootstrap	引导
bracket expression	方括号表达式
branching factor	分支因子
buckets	桶
Buffer Cache	缓冲区缓存
buffer descriptors	缓冲区描述符
buffer descriptors layer	缓冲区描述符层
Buffer Manager	缓冲区管理器
buffer pool	缓冲池
buffer table	缓冲区映射表
buffer tag	缓冲区标签
buffer_tag	缓冲区标签
built-in	内置
Bulk Eviction	批量逐出
Cache Hits	缓存命中
Cache Misses	缓存未命中
Cache Warming	缓存预热
Caching Rows (Memoization)	行缓存（记忆化）
call handler	调用处理器
candidate buffer descriptor	候选缓冲区描述符
CAP theorem	CAP 定理
Cartesian Product	笛卡尔积
cast	类型转换
catch-up	追赶
causality	因果关系
CC	并发控制
change data capture	变更数据捕获
Character-entry escapes	字符输入转义
checkpoint	检查点
checkpoint record	检查点记录
checkpointer	检查点进程
cid	命令标识符
Class-shorthand escapes	字符类简写转义
cleanup stage	清理阶段
clock-sweep	时钟扫描
CLOG	提交日志
cold standby	冷备
cold-standby	冷备
collation	排序规则
Column-Level Properties	列级属性
combine function	合并函数
command id	命令标识符
Commit Log	提交日志
compaction	压实
complexity	复杂度
composite type	复合类型
Concurrent Vacuum	并发清理
